TREE,YEAR,MONTH,hv,blk,wilt,loss,can,flu,flw,ty,sml,lrg,pcp,maxt,mint,midt,smi,lmi
3,84,10,24,0,1,2,2,1,2,5,3,11,"7,95","31,64","21,04","26,34","0,98","0,94"
4,89,1,47,0,0,0,3,1,2,3,5,7,0,"32,98","17,61","25,3","0,67","0,21"
5,94,11,32,0,4,0,4,1,2,1,3,4,"1,63","32,13","20,78","26,45","0,94","0,76"
6,87,11,90,24,20,2,2,1,3,2,4,37,"0,45","33,62","21,47","27,55","0,89","0,61"
7,87,11,30,2,8,6,3,1,2,0,2,10,"0,45","33,62","21,47","27,55","0,89","0,61"
8,81,11,22,0,0,0,2,1,1,0,0,2,"1,05","32,19","20,23","26,21","0,91","0,72"
9,83,11,72,8,0,2,2,1,3,3,0,1,"1,43","32,24","20,7","26,47","0,84","0,6"
10,86,10,28,6,5,0,3,3,3,1,1,12,"4,24","31,08","21,12","26,1","0,9","0,85"
11,85,12,19,0,0,0,3,1,2,3,3,4,"0,29","31,37","18,45","24,91","0,77","0,41"
12,94,11,56,0,2,0,4,1,2,1,0,3,"1,63","32,13","20,78","26,45","0,94","0,76"
13,81,11,17,4,0,0,3,1,2,2,1,1,"1,05","32,19","20,23","26,21","0,91","0,72"
14,77,11,39,0,0,0,1,1,2,4,1,0,"1,22","32,92","21,33","27,13","0,91","0,8"
15,79,11,43,0,1,1,1,1,2,0,2,3,"2,91","32,32","21,08","26,7","0,9","0,82"
16,79,12,22,0,0,0,2,1,2,1,1,1,"0,02","31,7","20,17","25,94","0,85","0,58"
17,89,10,18,6,2,2,4,1,2,1,2,8,"6,4","31,26","21,15","26,2","0,99","0,96"
18,79,11,21,1,4,0,2,1,2,1,5,6,"2,91","32,32","21,08","26,7","0,9","0,82"
19,77,11,20,0,0,1,2,1,2,0,0,0,"1,22","32,92","21,33","27,13","0,91","0,8"
20,94,10,6,0,0,1,4,1,2,0,0,4,"7,71","30,92","20,99","25,96","0,98","0,93"
21,84,12,42,2,6,0,2,1,3,11,13,32,"0,48","31,41","18,67","25,04","0,76","0,39"
22,87,11,29,0,9,3,3,2,3,6,2,7,"0,45","33,62","21,47","27,55","0,89","0,61"
23,82,11,17,9,0,0,2,4,4,6,0,0,"1,7","31,96","20,53","26,24","0,93","0,82"
24,79,12,23,0,0,0,2,1,1,0,0,0,"0,02","31,7","20,17","25,94","0,85","0,58"
25,80,11,34,0,0,2,3,1,1,0,0,0,"2,26","32,35","20,43","26,39","0,97","0,92"
26,77,11,26,0,0,0,2,1,2,0,0,3,"1,22","32,92","21,33","27,13","0,91","0,8"
28,80,9,24,1,8,0,2,1,2,4,7,9,"7,62","30,38","22,24","26,31","0,99","0,96"
29,84,11,23,4,3,0,2,3,2,1,4,9,"1,73","32,24","20,92","26,58","0,93","0,84"
30,77,11,8,0,0,0,1,1,2,1,0,1,"1,22","32,92","21,33","27,13","0,91","0,8"
31,82,12,27,14,0,0,2,1,3,8,2,3,"1,02","31,97","19,99","25,98","0,75","0,51"
32,94,11,25,0,4,0,4,1,2,0,2,4,"1,63","32,13","20,78","26,45","0,94","0,76"
33,94,11,36,0,1,0,4,1,2,1,0,4,"1,63","32,13","20,78","26,45","0,94","0,76"
34,77,11,10,0,0,0,1,1,3,2,2,1,"1,22","32,92","21,33","27,13","0,91","0,8"
35,82,11,11,0,0,1,3,2,2,0,0,0,"1,7","31,96","20,53","26,24","0,93","0,82"
36,94,11,30,0,5,0,4,1,2,1,1,9,"1,63","32,13","20,78","26,45","0,94","0,76"
37,89,10,18,15,2,0,3,1,2,0,1,7,"6,4","31,26","21,15","26,2","0,99","0,96"
